#FORMAT=WebAnno TSV 3.1


#Text=all things considered I'd be more concerned about what harper is doing to this country than distractions like this watchbut the globe needs a diverse readership and   the hits I guess
1-1	0-3	all	
1-2	4-10	things	
1-3	11-21	considered	
1-4	22-25	I'd	
1-5	26-28	be	
1-6	29-33	more	
1-7	34-43	concerned	
1-8	44-49	about	
1-9	50-54	what	
1-10	55-61	harper	
1-11	62-64	is	
1-12	65-70	doing	
1-13	71-73	to	
1-14	74-78	this	
1-15	79-86	country	
1-16	87-91	than	
1-17	92-104	distractions	
1-18	105-109	like	
1-19	110-114	this	
1-20	115-123	watchbut	
1-21	124-127	the	
1-22	128-133	globe	
1-23	134-139	needs	
1-24	140-141	a	
1-25	142-149	diverse	
1-26	150-160	readership	
1-27	161-164	and	
1-28	167-170	the	
1-29	171-175	hits	
1-30	176-177	I	
1-31	178-183	guess	
