#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=I wonder how the G&M and Bell Globe feel about media cartels?
1-1	0-1	I	_	_	
1-2	2-8	wonder	Judgment[1]	neg[1]	
1-3	9-12	how	Judgment[1]	neg[1]	
1-4	13-16	the	Judgment[1]	neg[1]	
1-5	17-18	G	Judgment[1]	neg[1]	
1-6	18-19	&	Judgment[1]	neg[1]	
1-7	19-20	M	Judgment[1]	neg[1]	
1-8	21-24	and	Judgment[1]	neg[1]	
1-9	25-29	Bell	Judgment[1]	neg[1]	
1-10	30-35	Globe	Judgment[1]	neg[1]	
1-11	36-40	feel	Judgment[1]	neg[1]	
1-12	41-46	about	Judgment[1]	neg[1]	
1-13	47-52	media	Judgment[1]	neg[1]	
1-14	53-60	cartels	Judgment[1]	neg[1]	
1-15	60-61	?	_	_	
