#FORMAT=WebAnno TSV 3.1


#Text=I KNEW they were going to trot this absurd charge out.
1-1	0-1	I	
1-2	2-6	KNEW	
1-3	7-11	they	
1-4	12-16	were	
1-5	17-22	going	
1-6	23-25	to	
1-7	26-30	trot	
1-8	31-35	this	
1-9	36-42	absurd	
1-10	43-49	charge	
1-11	50-53	out	
1-12	53-54	.	

#Text=You racist Canadians are preventing wealthy Chinese from using your homes as vehicles for speculation!
2-1	55-58	You	
2-2	59-65	racist	
2-3	66-75	Canadians	
2-4	76-79	are	
2-5	80-90	preventing	
2-6	91-98	wealthy	
2-7	99-106	Chinese	
2-8	107-111	from	
2-9	112-117	using	
2-10	118-122	your	
2-11	123-128	homes	
2-12	129-131	as	
2-13	132-140	vehicles	
2-14	141-144	for	
2-15	145-156	speculation	
2-16	156-157	!	

#Text=How dare you!
3-1	158-161	How	
3-2	162-166	dare	
3-3	167-170	you	
3-4	170-171	!	

#Text=Sit back and have your children priced out of the market for HOMES like good little complacent Canadians!
4-1	172-175	Sit	
4-2	176-180	back	
4-3	181-184	and	
4-4	185-189	have	
4-5	190-194	your	
4-6	195-203	children	
4-7	204-210	priced	
4-8	211-214	out	
4-9	215-217	of	
4-10	218-221	the	
4-11	222-228	market	
4-12	229-232	for	
4-13	233-238	HOMES	
4-14	239-243	like	
4-15	244-248	good	
4-16	249-255	little	
4-17	256-266	complacent	
4-18	267-276	Canadians	
4-19	276-277	!	
