#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Love being lectured to by muslims about how we're failing the world's muslims, who aren't able to govern themselves properly.
1-1	0-4	Love	Judgment[1]	neg[1]	
1-2	5-10	being	Judgment[1]	neg[1]	
1-3	11-19	lectured	Judgment[1]	neg[1]	
1-4	20-22	to	Judgment[1]	neg[1]	
1-5	23-25	by	Judgment[1]	neg[1]	
1-6	26-33	muslims	Judgment[1]	neg[1]	
1-7	34-39	about	Judgment[1]	neg[1]	
1-8	40-43	how	Judgment[1]	neg[1]	
1-9	44-49	we're	Judgment[1]	neg[1]	
1-10	50-57	failing	Judgment[1]	neg[1]	
1-11	58-61	the	Judgment[1]	neg[1]	
1-12	62-69	world's	Judgment[1]	neg[1]	
1-13	70-77	muslims	Judgment[1]	neg[1]	
1-14	77-78	,	_	_	
1-15	79-82	who	_	_	
1-16	83-89	aren't	Judgment[2]	neg[2]	
1-17	90-94	able	Judgment[2]	neg[2]	
1-18	95-97	to	Judgment[2]	neg[2]	
1-19	98-104	govern	Judgment[2]	neg[2]	
1-20	105-115	themselves	Judgment[2]	neg[2]	
1-21	116-124	properly	Judgment[2]	neg[2]	
1-22	124-125	.	_	_	
