#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=It is so easy to gloss over the many huge problems and call everyone who disagrees with you a xenophobe.
1-1	0-2	It	_	_	_	_	
1-2	3-5	is	_	_	_	_	
1-3	6-8	so	Judgment[1]	neg[1]	Force	up	
1-4	9-13	easy	Judgment[1]	neg[1]	_	_	
1-5	14-16	to	Judgment[1]	neg[1]	_	_	
1-6	17-22	gloss	Judgment[1]	neg[1]	_	_	
1-7	23-27	over	_	_	_	_	
1-8	28-31	the	_	_	_	_	
1-9	32-36	many	Appreciation[2]	neg[2]	_	_	
1-10	37-41	huge	Appreciation[2]	neg[2]	_	_	
1-11	42-50	problems	Appreciation[2]	neg[2]	_	_	
1-12	51-54	and	_	_	_	_	
1-13	55-59	call	Judgment[3]	neg[3]	_	_	
1-14	60-68	everyone	Judgment[3]	neg[3]	_	_	
1-15	69-72	who	Judgment[3]	neg[3]	_	_	
1-16	73-82	disagrees	Judgment[3]	neg[3]	_	_	
1-17	83-87	with	Judgment[3]	neg[3]	_	_	
1-18	88-91	you	Judgment[3]	neg[3]	_	_	
1-19	92-93	a	Judgment[3]	neg[3]	_	_	
1-20	94-103	xenophobe	Judgment[3]|Judgment[4]	neg[3]|neg[4]	_	_	
1-21	103-104	.	_	_	_	_	

#Text=I would expect better from an academic.
2-1	105-106	I	_	_	_	_	
2-2	107-112	would	Judgment[5]	neg[5]	_	_	
2-3	113-119	expect	Judgment[5]	neg[5]	_	_	
2-4	120-126	better	Judgment[5]	neg[5]	Force	up	
2-5	127-131	from	Judgment[5]	neg[5]	_	_	
2-6	132-134	an	Judgment[5]	neg[5]	_	_	
2-7	135-143	academic	Judgment[5]	neg[5]	_	_	
2-8	143-144	.	_	_	_	_	
