#FORMAT=WebAnno TSV 3.1


#Text=What this means for Hillary is that she can finally dump that Arkansas Cracker she's been stuck with for the last four decades.
1-1	0-4	What	
1-2	5-9	this	
1-3	10-15	means	
1-4	16-19	for	
1-5	20-27	Hillary	
1-6	28-30	is	
1-7	31-35	that	
1-8	36-39	she	
1-9	40-43	can	
1-10	44-51	finally	
1-11	52-56	dump	
1-12	57-61	that	
1-13	62-70	Arkansas	
1-14	71-78	Cracker	
1-15	79-84	she's	
1-16	85-89	been	
1-17	90-95	stuck	
1-18	96-100	with	
1-19	101-104	for	
1-20	105-108	the	
1-21	109-113	last	
1-22	114-118	four	
1-23	119-126	decades	
1-24	126-127	.	
