#FORMAT=WebAnno TSV 3.1


#Text=Would the professor be comfortable walking outside after dark once we bring million of them here, like Europe did?
1-1	0-5	Would	
1-2	6-9	the	
1-3	10-19	professor	
1-4	20-22	be	
1-5	23-34	comfortable	
1-6	35-42	walking	
1-7	43-50	outside	
1-8	51-56	after	
1-9	57-61	dark	
1-10	62-66	once	
1-11	67-69	we	
1-12	70-75	bring	
1-13	76-83	million	
1-14	84-86	of	
1-15	87-91	them	
1-16	92-96	here	
1-17	96-97	,	
1-18	98-102	like	
1-19	103-109	Europe	
1-20	110-113	did	
1-21	113-114	?	
