#FORMAT=WebAnno TSV 3.1


#Text=Call me immature but I find this so hilarious as to post one more comment.Will the $13,000- gold model be obsolete when the next iteration is released in 3 months time or will you be able to replace the $20- electronic module by popping the old one out and inserting the new one?
1-1	0-4	Call	
1-2	5-7	me	
1-3	8-16	immature	
1-4	17-20	but	
1-5	21-22	I	
1-6	23-27	find	
1-7	28-32	this	
1-8	33-35	so	
1-9	36-45	hilarious	
1-10	46-48	as	
1-11	49-51	to	
1-12	52-56	post	
1-13	57-60	one	
1-14	61-65	more	
1-15	66-78	comment.Will	
1-16	79-82	the	
1-17	83-90	$13,000	
1-18	90-91	-	
1-19	92-96	gold	
1-20	97-102	model	
1-21	103-105	be	
1-22	106-114	obsolete	
1-23	115-119	when	
1-24	120-123	the	
1-25	124-128	next	
1-26	129-138	iteration	
1-27	139-141	is	
1-28	142-150	released	
1-29	151-153	in	
1-30	154-155	3	
1-31	156-162	months	
1-32	163-167	time	
1-33	168-170	or	
1-34	171-175	will	
1-35	176-179	you	
1-36	180-182	be	
1-37	183-187	able	
1-38	188-190	to	
1-39	191-198	replace	
1-40	199-202	the	
1-41	203-206	$20	
1-42	206-207	-	
1-43	208-218	electronic	
1-44	219-225	module	
1-45	226-228	by	
1-46	229-236	popping	
1-47	237-240	the	
1-48	241-244	old	
1-49	245-248	one	
1-50	249-252	out	
1-51	253-256	and	
1-52	257-266	inserting	
1-53	267-270	the	
1-54	271-274	new	
1-55	275-278	one	
1-56	278-279	?	
