#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=How quickly we forget, Flaherty was coerced into this, the controversy lasted no more than ten minutes it seems back then.
1-1	0-3	How	_	
1-2	4-11	quickly	_	
1-3	12-14	we	_	
1-4	15-21	forget	_	
1-5	21-22	,	_	
1-6	23-31	Flaherty	_	
1-7	32-35	was	_	
1-8	36-43	coerced	_	
1-9	44-48	into	_	
1-10	49-53	this	_	
1-11	53-54	,	_	
1-12	55-58	the	_	
1-13	59-70	controversy	_	
1-14	71-77	lasted	_	
1-15	78-80	no	NEG	
1-16	81-85	more	SCOPE[2]	
1-17	86-90	than	SCOPE[2]	
1-18	91-94	ten	SCOPE[2]|FOCUS[3]	
1-19	95-102	minutes	SCOPE[2]|FOCUS[3]	
1-20	103-105	it	_	
1-21	106-111	seems	_	
1-22	112-116	back	_	
1-23	117-121	then	_	
1-24	121-122	.	_	
