#FORMAT=WebAnno TSV 3.1


#Text=Sad but your actually need some kind of border patrols and though Canada is a rich country refugees need government services that must be planned for.
1-1	0-3	Sad	
1-2	4-7	but	
1-3	8-12	your	
1-4	13-21	actually	
1-5	22-26	need	
1-6	27-31	some	
1-7	32-36	kind	
1-8	37-39	of	
1-9	40-46	border	
1-10	47-54	patrols	
1-11	55-58	and	
1-12	59-65	though	
1-13	66-72	Canada	
1-14	73-75	is	
1-15	76-77	a	
1-16	78-82	rich	
1-17	83-90	country	
1-18	91-99	refugees	
1-19	100-104	need	
1-20	105-115	government	
1-21	116-124	services	
1-22	125-129	that	
1-23	130-134	must	
1-24	135-137	be	
1-25	138-145	planned	
1-26	146-149	for	
1-27	149-150	.	
