#FORMAT=WebAnno TSV 3.1


#Text=Think of all the money Harper would make if he wrote a book about the lies he told Canadians, and the tales of all the games he played.I think it might be the best selling book of all time.
1-1	0-5	Think	
1-2	6-8	of	
1-3	9-12	all	
1-4	13-16	the	
1-5	17-22	money	
1-6	23-29	Harper	
1-7	30-35	would	
1-8	36-40	make	
1-9	41-43	if	
1-10	44-46	he	
1-11	47-52	wrote	
1-12	53-54	a	
1-13	55-59	book	
1-14	60-65	about	
1-15	66-69	the	
1-16	70-74	lies	
1-17	75-77	he	
1-18	78-82	told	
1-19	83-92	Canadians	
1-20	92-93	,	
1-21	94-97	and	
1-22	98-101	the	
1-23	102-107	tales	
1-24	108-110	of	
1-25	111-114	all	
1-26	115-118	the	
1-27	119-124	games	
1-28	125-127	he	
1-29	128-136	played.I	
1-30	137-142	think	
1-31	143-145	it	
1-32	146-151	might	
1-33	152-154	be	
1-34	155-158	the	
1-35	159-163	best	
1-36	164-171	selling	
1-37	172-176	book	
1-38	177-179	of	
1-39	180-183	all	
1-40	184-188	time	
1-41	188-189	.	
