#FORMAT=WebAnno TSV 3.1


#Text=Terrorist incidents in Europe, like the Madrid bombings, have been linked to people with connections to Tetouan in the Rif mountains of Morocco.
1-1	0-9	Terrorist	
1-2	10-19	incidents	
1-3	20-22	in	
1-4	23-29	Europe	
1-5	29-30	,	
1-6	31-35	like	
1-7	36-39	the	
1-8	40-46	Madrid	
1-9	47-55	bombings	
1-10	55-56	,	
1-11	57-61	have	
1-12	62-66	been	
1-13	67-73	linked	
1-14	74-76	to	
1-15	77-83	people	
1-16	84-88	with	
1-17	89-100	connections	
1-18	101-103	to	
1-19	104-111	Tetouan	
1-20	112-114	in	
1-21	115-118	the	
1-22	119-122	Rif	
1-23	123-132	mountains	
1-24	133-135	of	
1-25	136-143	Morocco	
1-26	143-144	.	

#Text=Brussels has many people from the Rif area.
2-1	145-153	Brussels	
2-2	154-157	has	
2-3	158-162	many	
2-4	163-169	people	
2-5	170-174	from	
2-6	175-178	the	
2-7	179-182	Rif	
2-8	183-187	area	
2-9	187-188	.	
