"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
509,"4","2025-01-25T03:02:14.469802Z",1,"[{""start"":151,""end"":162,""text"":""blue collar"",""labels"":[""METAPHOR""]}]",9.888,"' The problem is bigger than Mr. Trump.'Extending, even, up into the ranks of well-paid lawyers whose services are not affordable by a majority of the blue collar people who elected The Donald.","2025-01-25T03:02:14.469842Z"
510,"4","2025-01-25T03:02:37.974849Z",2,"[{""start"":298,""end"":306,""text"":""genitals"",""labels"":[""METAPHOR""]}]",28.824,"'If she was a man, she would be president-elect today.'Nonsense. Clinton lost because of her past not because of her gender. You can't have it both ways - the media constantly portrayed her opponent as a buffoon, yet if she couldn't defeat a buffoon it was because of who she is not because of her genitals. There were better women who could have run but the Dems chose Clinton.","2025-02-06T17:15:28.502235Z"
502,"4","2025-01-25T02:48:07.557501Z",3,"[{""start"":140,""end"":146,""text"":""engage"",""labels"":[""METAPHOR""]}]",176.66499999999996,"'What are you going to tell your daughters?'Tell them that charisma is extremely important and that even if you are qualified if you cannot engage in a meaningful way with an audience then a career in politics is not for you. Sorry, but that it the reality of the social media world we live in.","2025-02-06T17:16:36.503806Z"
511,"4","2025-01-25T03:04:01.361546Z",4,"[{""start"":313,""end"":316,""text"":""top"",""labels"":[""METAPHOR""]}]",101.21300000000001,"'What are you going to tell your daughters?'We are going to tell them that plenty of other countries in the world have elected female leaders, prime ministers, and presidents. Some of them even 'third world countries'.We are going to tell them that being female is no guarantee that they will succeed, or get the top job. We are going to tell them, when they run for election, their gender is no guarantee of winning or losing. And we are going to tell them that the most qualified person does not always get the the elected position. Or the job. And we are going to tell our sons the exact same thing.","2025-02-01T06:28:56.983552Z"
503,"4","2025-01-25T02:48:59.759517Z",5,"",1.503,"A PR piece designed to reverse all the damage she did to women by defending that creepy guy.","2025-01-25T02:48:59.759572Z"
504,"4","2025-01-25T02:50:02.505514Z",6,"[{""start"":43,""end"":50,""text"":""baggage"",""labels"":[""METAPHOR""]}]",28.296,"A better woman with a better plan and less baggage might have won.","2025-01-25T02:50:02.505552Z"
505,"4","2025-01-25T02:51:19.737264Z",7,"[{""start"":110,""end"":120,""text"":""getting on"",""labels"":[""METAPHOR""]},{""start"":94,""end"":99,""text"":""spend"",""labels"":[""METAPHOR""]}]",58.279,"All these people keep talking about how they cried when she wasn't elected. Maybe they should spend more time getting on with life and work and stop crying.","2025-01-25T02:51:19.737304Z"
506,"4","2025-01-25T02:52:16.912831Z",8,"[{""start"":86,""end"":91,""text"":""views"",""labels"":[""METAPHOR""]},{""start"":19,""end"":24,""text"":""heard"",""labels"":[""METAPHOR""]},{""start"":77,""end"":81,""text"":""hear"",""labels"":[""METAPHOR""]}]",55.929,"And now that we've heard Hennins views as a woman on the US election, can we hear her views on Canadian legal matters as a lawyer? Lets start with Bill C-16.","2025-02-01T06:30:21.164748Z"
507,"4","2025-01-25T02:53:48.543499Z",9,"[{""start"":103,""end"":110,""text"":""fingers"",""labels"":[""METAPHOR""]},{""start"":124,""end"":128,""text"":""ears"",""labels"":[""METAPHOR""]}]",178.687,"And with hindsight being what it is, lets just hope Jasmine Cormier and those like her will take their fingers out of their ears and review the Mansbridge interview. The state of academic discourse in Canadian universities is a disgrace and if Herein is silenced on these campuses, it is shameful.","2025-02-06T17:20:33.671611Z"
508,"4","2025-01-25T03:01:38.741843Z",10,"[{""start"":417,""end"":429,""text"":""power hungry"",""labels"":[""METAPHOR""]},{""start"":600,""end"":609,""text"":""soldiered"",""labels"":[""METAPHOR""]},{""start"":723,""end"":728,""text"":""faces"",""labels"":[""METAPHOR""]},{""start"":1130,""end"":1135,""text"":""smell"",""labels"":[""METAPHOR""]},{""start"":1140,""end"":1146,""text"":""coffee"",""labels"":[""METAPHOR""]},{""start"":844,""end"":850,""text"":""centre"",""labels"":[""METAPHOR""]},{""start"":979,""end"":983,""text"":""face"",""labels"":[""METAPHOR""]},{""start"":318,""end"":331,""text"":""glass ceiling"",""labels"":[""METAPHOR""]},{""start"":342,""end"":345,""text"":""top"",""labels"":[""METAPHOR""]},{""start"":856,""end"":869,""text"":""conservatives"",""labels"":[""METAPHOR""]},{""start"":956,""end"":959,""text"":""lib"",""labels"":[""METAPHOR""]},{""start"":737,""end"":749,""text"":""center stage"",""labels"":[""METAPHOR""]},{""start"":538,""end"":542,""text"":""shot"",""labels"":[""METAPHOR""]},{""start"":927,""end"":936,""text"":""direction"",""labels"":[""METAPHOR""]}]",963.328,"Another clueless column from the liberals. Women do not identify with Clinton - she is a wealthy elitist who has nothing in common with ordinary women and as the election shows, ordinary women did not line up to support her. The writer is clueless when she believes this election was about my sog yn y and the alleged glass ceiling (and what top position has Clinton been in for years, hello?). In fact, Clinton is a power hungry, egotistical person who did not recognize that she should have quit after losing to Obama. She had her fair shot and she clearly lost, yet she returned like a zombie and soldiered on with her fake smile and fake personality. She has done enormous damage to the Democrats by not allowing fresh faces to take center stage. Not speaking about Bernie as he is a hopeless extremist. The democrats needed someone on the centre that conservatives would have supported. Instead, Clinton went the opposite direction. The fact that the lib media is unable to face the real reasons behind her loss and unable to learn from this shows how doomed they are. Look around what is happening in the world, wake up and smell the coffee. Change is a'coming.","2025-02-06T17:28:48.076873Z"
