#FORMAT=WebAnno TSV 3.1


#Text=tempsperdue  13 minutes ago
#Text=
#Text=At most the city should buy back all exisitng licences for the cost it currently charges for a new licence, 4.5 grand, less admin fee.
#Text=--------
#Text=
#Text=are we talking a TAXI LICENCE PLATE
#Text=there is a quota
#Text=supply and demand
#Text=
#Text=I would like to see you walk in to City hall and buy one for $4,500
1-1	0-11	tempsperdue	
1-2	13-15	13	
1-3	16-23	minutes	
1-4	24-27	ago	
1-5	29-31	At	
1-6	32-36	most	
1-7	37-40	the	
1-8	41-45	city	
1-9	46-52	should	
1-10	53-56	buy	
1-11	57-61	back	
1-12	62-65	all	
1-13	66-74	exisitng	
1-14	75-83	licences	
1-15	84-87	for	
1-16	88-91	the	
1-17	92-96	cost	
1-18	97-99	it	
1-19	100-109	currently	
1-20	110-117	charges	
1-21	118-121	for	
1-22	122-123	a	
1-23	124-127	new	
1-24	128-135	licence	
1-25	135-136	,	
1-26	137-140	4.5	
1-27	141-146	grand	
1-28	146-147	,	
1-29	148-152	less	
1-30	153-158	admin	
1-31	159-162	fee	
1-32	162-163	.	
1-33	164-165	-	
1-34	165-166	-	
1-35	166-167	-	
1-36	167-168	-	
1-37	168-169	-	
1-38	169-170	-	
1-39	170-171	-	
1-40	171-172	-	
1-41	174-177	are	
1-42	178-180	we	
1-43	181-188	talking	
1-44	189-190	a	
1-45	191-195	TAXI	
1-46	196-203	LICENCE	
1-47	204-209	PLATE	
1-48	210-215	there	
1-49	216-218	is	
1-50	219-220	a	
1-51	221-226	quota	
1-52	227-233	supply	
1-53	234-237	and	
1-54	238-244	demand	
1-55	246-247	I	
1-56	248-253	would	
1-57	254-258	like	
1-58	259-261	to	
1-59	262-265	see	
1-60	266-269	you	
1-61	270-274	walk	
1-62	275-277	in	
1-63	278-280	to	
1-64	281-285	City	
1-65	286-290	hall	
1-66	291-294	and	
1-67	295-298	buy	
1-68	299-302	one	
1-69	303-306	for	
1-70	307-313	$4,500	
