#FORMAT=WebAnno TSV 3.1


#Text=Oh, I get it now.
1-1	0-2	Oh	
1-2	2-3	,	
1-3	4-5	I	
1-4	6-9	get	
1-5	10-12	it	
1-6	13-16	now	
1-7	16-17	.	

#Text=It's Belgium's fault that fanatics feel compelled to mass murder innocents in the name of God.
2-1	18-22	It's	
2-2	23-32	Belgium's	
2-3	33-38	fault	
2-4	39-43	that	
2-5	44-52	fanatics	
2-6	53-57	feel	
2-7	58-67	compelled	
2-8	68-70	to	
2-9	71-75	mass	
2-10	76-82	murder	
2-11	83-92	innocents	
2-12	93-95	in	
2-13	96-99	the	
2-14	100-104	name	
2-15	105-107	of	
2-16	108-111	God	
2-17	111-112	.	
