#FORMAT=WebAnno TSV 3.1


#Text=Also it seems that many of the reserves are full of crime and corruption.
1-1	0-4	Also	
1-2	5-7	it	
1-3	8-13	seems	
1-4	14-18	that	
1-5	19-23	many	
1-6	24-26	of	
1-7	27-30	the	
1-8	31-39	reserves	
1-9	40-43	are	
1-10	44-48	full	
1-11	49-51	of	
1-12	52-57	crime	
1-13	58-61	and	
1-14	62-72	corruption	
1-15	72-73	.	

#Text=They are doing it to themselves !
2-1	74-78	They	
2-2	79-82	are	
2-3	83-88	doing	
2-4	89-91	it	
2-5	92-94	to	
2-6	95-105	themselves	
2-7	106-107	!	
