#FORMAT=WebAnno TSV 3.1


#Text=Because Uber is run by Libertarian parasites who openly denigrate competitors and utilize unsavoury tactics against competitors such as Lyft and spying on journalists who are critical of their methods.
1-1	0-7	Because	
1-2	8-12	Uber	
1-3	13-15	is	
1-4	16-19	run	
1-5	20-22	by	
1-6	23-34	Libertarian	
1-7	35-44	parasites	
1-8	45-48	who	
1-9	49-55	openly	
1-10	56-65	denigrate	
1-11	66-77	competitors	
1-12	78-81	and	
1-13	82-89	utilize	
1-14	90-99	unsavoury	
1-15	100-107	tactics	
1-16	108-115	against	
1-17	116-127	competitors	
1-18	128-132	such	
1-19	133-135	as	
1-20	136-140	Lyft	
1-21	141-144	and	
1-22	145-151	spying	
1-23	152-154	on	
1-24	155-166	journalists	
1-25	167-170	who	
1-26	171-174	are	
1-27	175-183	critical	
1-28	184-186	of	
1-29	187-192	their	
1-30	193-200	methods	
1-31	200-201	.	

#Text=People who use Uber are some kind of chumps.
2-1	202-208	People	
2-2	209-212	who	
2-3	213-216	use	
2-4	217-221	Uber	
2-5	222-225	are	
2-6	226-230	some	
2-7	231-235	kind	
2-8	236-238	of	
2-9	239-245	chumps	
2-10	245-246	.	
