#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity
#T_SP=webanno.custom.Graduation|Kind|Scaling


#Text=Golly you're just so clever and prescient Jeffy.
1-1	0-5	Golly	Appreciation	neg	_	_	
1-2	6-12	you're	_	_	_	_	
1-3	13-17	just	Judgment[2]	neg[2]	_	_	
1-4	18-20	so	Judgment[2]	neg[2]	Force	up	
1-5	21-27	clever	Judgment[2]	neg[2]	_	_	
1-6	28-31	and	Judgment[2]	neg[2]	_	_	
1-7	32-41	prescient	Judgment[2]	neg[2]	_	_	
1-8	42-47	Jeffy	_	_	_	_	
1-9	47-48	.	_	_	_	_	

#Text=You knew this was coming all along, and predicted it perfectly.
2-1	49-52	You	_	_	_	_	
2-2	53-57	knew	Judgment[3]	neg[3]	_	_	
2-3	58-62	this	Judgment[3]	neg[3]	_	_	
2-4	63-66	was	Judgment[3]	neg[3]	_	_	
2-5	67-73	coming	Judgment[3]	neg[3]	_	_	
2-6	74-77	all	Judgment[3]	neg[3]	_	_	
2-7	78-83	along	Judgment[3]	neg[3]	_	_	
2-8	83-84	,	Judgment[3]	neg[3]	_	_	
2-9	85-88	and	Judgment[3]	neg[3]	_	_	
2-10	89-98	predicted	Judgment[3]	neg[3]	_	_	
2-11	99-101	it	Judgment[3]	neg[3]	_	_	
2-12	102-111	perfectly	Judgment[3]	neg[3]	Force	up	
2-13	111-112	.	_	_	_	_	

#Text=After it happened that is.You crystal ball gazer you.
3-1	113-118	After	Appreciation[4]	neg[4]	_	_	
3-2	119-121	it	Appreciation[4]	neg[4]	_	_	
3-3	122-130	happened	Appreciation[4]	neg[4]	_	_	
3-4	131-135	that	Appreciation[4]	neg[4]	_	_	
3-5	136-142	is.You	Appreciation[4]	neg[4]	_	_	
3-6	143-150	crystal	Judgment[5]	neg[5]	_	_	
3-7	151-155	ball	Judgment[5]	neg[5]	_	_	
3-8	156-161	gazer	Judgment[5]	neg[5]	_	_	
3-9	162-165	you	Judgment[5]	neg[5]	_	_	
3-10	165-166	.	_	_	_	_	

#Text=Too funny.
4-1	167-170	Too	Judgment[6]	neg[6]	_	_	
4-2	171-176	funny	Judgment[6]	neg[6]	_	_	
4-3	176-177	.	_	_	_	_	
