#FORMAT=WebAnno TSV 3.1


#Text=!!!!!''
1-1	0-1	!	
1-2	1-2	!	
1-3	2-3	!	
1-4	3-4	!	
1-5	4-5	!	
1-6	5-6	'	
1-7	6-7	'	

#Text=Turks shoot to kill as refugees cross border''Turkish border forces are shooting refugees dead as they flee the civil war in Syria, The Times has learnt.
2-1	7-12	Turks	
2-2	13-18	shoot	
2-3	19-21	to	
2-4	22-26	kill	
2-5	27-29	as	
2-6	30-38	refugees	
2-7	39-44	cross	
2-8	45-51	border	
2-9	51-52	'	
2-10	52-53	'	
2-11	53-60	Turkish	
2-12	61-67	border	
2-13	68-74	forces	
2-14	75-78	are	
2-15	79-87	shooting	
2-16	88-96	refugees	
2-17	97-101	dead	
2-18	102-104	as	
2-19	105-109	they	
2-20	110-114	flee	
2-21	115-118	the	
2-22	119-124	civil	
2-23	125-128	war	
2-24	129-131	in	
2-25	132-137	Syria	
2-26	137-138	,	
2-27	139-142	The	
2-28	143-148	Times	
2-29	149-152	has	
2-30	153-159	learnt	
2-31	159-160	.	

#Text=Sixteen...'
3-1	161-168	Sixteen	
3-2	168-169	.	
3-3	169-170	.	
3-4	170-171	.	
3-5	171-172	'	

#Text=etc. etc..
4-1	174-177	etc	
4-2	177-178	.	
4-3	179-182	etc	
4-4	182-183	.	
4-5	183-184	.	
