#FORMAT=WebAnno TSV 3.1


#Text=Please read this article and tell me if there is a double standard applied to China in the South China Sea dispute.http://thediplomat.com/2016/05/taiwan-japan-fishing-dispute-heats-up/Taiwan-Japan Fishing Dispute Heats UpTaiwan sends Coast Guard and military vessels to enforce its right to fish in what Japan claims as its EEZ.
1-1	0-6	Please	
1-2	7-11	read	
1-3	12-16	this	
1-4	17-24	article	
1-5	25-28	and	
1-6	29-33	tell	
1-7	34-36	me	
1-8	37-39	if	
1-9	40-45	there	
1-10	46-48	is	
1-11	49-50	a	
1-12	51-57	double	
1-13	58-66	standard	
1-14	67-74	applied	
1-15	75-77	to	
1-16	78-83	China	
1-17	84-86	in	
1-18	87-90	the	
1-19	91-96	South	
1-20	97-102	China	
1-21	103-106	Sea	
1-22	107-119	dispute.http	
1-23	119-120	:	
1-24	120-121	/	
1-25	121-122	/	
1-26	122-137	thediplomat.com	
1-27	137-138	/	
1-28	138-142	2016	
1-29	142-143	/	
1-30	143-145	05	
1-31	145-146	/	
1-32	146-183	taiwan-japan-fishing-dispute-heats-up	
1-33	183-184	/	
1-34	184-196	Taiwan-Japan	
1-35	197-204	Fishing	
1-36	205-212	Dispute	
1-37	213-218	Heats	
1-38	219-227	UpTaiwan	
1-39	228-233	sends	
1-40	234-239	Coast	
1-41	240-245	Guard	
1-42	246-249	and	
1-43	250-258	military	
1-44	259-266	vessels	
1-45	267-269	to	
1-46	270-277	enforce	
1-47	278-281	its	
1-48	282-287	right	
1-49	288-290	to	
1-50	291-295	fish	
1-51	296-298	in	
1-52	299-303	what	
1-53	304-309	Japan	
1-54	310-316	claims	
1-55	317-319	as	
1-56	320-323	its	
1-57	324-327	EEZ	
1-58	327-328	.	
