#FORMAT=WebAnno TSV 3.1


#Text=All parties play accounting tricks to make the numbers look better.
1-1	0-3	All	
1-2	4-11	parties	
1-3	12-16	play	
1-4	17-27	accounting	
1-5	28-34	tricks	
1-6	35-37	to	
1-7	38-42	make	
1-8	43-46	the	
1-9	47-54	numbers	
1-10	55-59	look	
1-11	60-66	better	
1-12	66-67	.	

#Text=The crazy thing about the Ontario Liberals, and I suspect federal, is that their numbers look horrible even after a massage and then they try and pull a 'stupid pet trick' by telling us the numbers look great.
2-1	68-71	The	
2-2	72-77	crazy	
2-3	78-83	thing	
2-4	84-89	about	
2-5	90-93	the	
2-6	94-101	Ontario	
2-7	102-110	Liberals	
2-8	110-111	,	
2-9	112-115	and	
2-10	116-117	I	
2-11	118-125	suspect	
2-12	126-133	federal	
2-13	133-134	,	
2-14	135-137	is	
2-15	138-142	that	
2-16	143-148	their	
2-17	149-156	numbers	
2-18	157-161	look	
2-19	162-170	horrible	
2-20	171-175	even	
2-21	176-181	after	
2-22	182-183	a	
2-23	184-191	massage	
2-24	192-195	and	
2-25	196-200	then	
2-26	201-205	they	
2-27	206-209	try	
2-28	210-213	and	
2-29	214-218	pull	
2-30	219-220	a	
2-31	221-222	'	
2-32	222-228	stupid	
2-33	229-232	pet	
2-34	233-238	trick	
2-35	238-239	'	
2-36	240-242	by	
2-37	243-250	telling	
2-38	251-253	us	
2-39	254-257	the	
2-40	258-265	numbers	
2-41	266-270	look	
2-42	271-276	great	
2-43	276-277	.	

#Text=It's like calling a plane crash a thing of beauty.
3-1	278-282	It's	
3-2	283-287	like	
3-3	288-295	calling	
3-4	296-297	a	
3-5	298-303	plane	
3-6	304-309	crash	
3-7	310-311	a	
3-8	312-317	thing	
3-9	318-320	of	
3-10	321-327	beauty	
3-11	327-328	.	
