#FORMAT=WebAnno TSV 3.1


#Text=Less is done?
1-1	0-4	Less	
1-2	5-7	is	
1-3	8-12	done	
1-4	12-13	?	

#Text=can you actually support that claim with real evidence?
2-1	15-18	can	
2-2	19-22	you	
2-3	23-31	actually	
2-4	32-39	support	
2-5	40-44	that	
2-6	45-50	claim	
2-7	51-55	with	
2-8	56-60	real	
2-9	61-69	evidence	
2-10	69-70	?	

#Text=Or have you just swallowed the hype, hook, line and sinker?
3-1	72-74	Or	
3-2	75-79	have	
3-3	80-83	you	
3-4	84-88	just	
3-5	89-98	swallowed	
3-6	99-102	the	
3-7	103-107	hype	
3-8	107-108	,	
3-9	109-113	hook	
3-10	113-114	,	
3-11	115-119	line	
3-12	120-123	and	
3-13	124-130	sinker	
3-14	130-131	?	
