#FORMAT=WebAnno TSV 3.1


#Text=Everything Harper has done from DAY 1 has, and continues to be a shell-game!
1-1	0-10	Everything	
1-2	11-17	Harper	
1-3	18-21	has	
1-4	22-26	done	
1-5	27-31	from	
1-6	32-35	DAY	
1-7	36-37	1	
1-8	38-41	has	
1-9	41-42	,	
1-10	43-46	and	
1-11	47-56	continues	
1-12	57-59	to	
1-13	60-62	be	
1-14	63-64	a	
1-15	65-75	shell-game	
1-16	75-76	!	

#Text=You'd think that even die hard CON supporters would have tired of the endless lies and deceit by now.
2-1	77-82	You'd	
2-2	83-88	think	
2-3	89-93	that	
2-4	94-98	even	
2-5	99-102	die	
2-6	103-107	hard	
2-7	108-111	CON	
2-8	112-122	supporters	
2-9	123-128	would	
2-10	129-133	have	
2-11	134-139	tired	
2-12	140-142	of	
2-13	143-146	the	
2-14	147-154	endless	
2-15	155-159	lies	
2-16	160-163	and	
2-17	164-170	deceit	
2-18	171-173	by	
2-19	174-177	now	
2-20	177-178	.	

#Text=Obviously those who still support Harper revel in and profit from the dictatorial like mis-government of a once great Canada under the leadership for a select few!
3-1	179-188	Obviously	
3-2	189-194	those	
3-3	195-198	who	
3-4	199-204	still	
3-5	205-212	support	
3-6	213-219	Harper	
3-7	220-225	revel	
3-8	226-228	in	
3-9	229-232	and	
3-10	233-239	profit	
3-11	240-244	from	
3-12	245-248	the	
3-13	249-260	dictatorial	
3-14	261-265	like	
3-15	266-280	mis-government	
3-16	281-283	of	
3-17	284-285	a	
3-18	286-290	once	
3-19	291-296	great	
3-20	297-303	Canada	
3-21	304-309	under	
3-22	310-313	the	
3-23	314-324	leadership	
3-24	325-328	for	
3-25	329-330	a	
3-26	331-337	select	
3-27	338-341	few	
3-28	341-342	!	

#Text=That is not what the Fathers of Confederation envisioned when it was founded.Without Truth, Honour, Integrity and Security being espoused by any PM (regardless of Party) for ALL Canadians, we are merely a fake democracy!
4-1	343-347	That	
4-2	348-350	is	
4-3	351-354	not	
4-4	355-359	what	
4-5	360-363	the	
4-6	364-371	Fathers	
4-7	372-374	of	
4-8	375-388	Confederation	
4-9	389-399	envisioned	
4-10	400-404	when	
4-11	405-407	it	
4-12	408-411	was	
4-13	412-427	founded.Without	
4-14	428-433	Truth	
4-15	433-434	,	
4-16	435-441	Honour	
4-17	441-442	,	
4-18	443-452	Integrity	
4-19	453-456	and	
4-20	457-465	Security	
4-21	466-471	being	
4-22	472-480	espoused	
4-23	481-483	by	
4-24	484-487	any	
4-25	488-490	PM	
4-26	491-492	(	
4-27	492-502	regardless	
4-28	503-505	of	
4-29	506-511	Party	
4-30	511-512	)	
4-31	513-516	for	
4-32	517-520	ALL	
4-33	521-530	Canadians	
4-34	530-531	,	
4-35	532-534	we	
4-36	535-538	are	
4-37	539-545	merely	
4-38	546-547	a	
4-39	548-552	fake	
4-40	553-562	democracy	
4-41	562-563	!	
