#FORMAT=WebAnno TSV 3.1


#Text=Your article 'As technology marches'. . . mirrors my own emotional / psychological experience of technology.How do you put AC Milan, Chelsea FC &amp; Vancouver Canucks in the same sentence?
1-1	0-4	Your	
1-2	5-12	article	
1-3	13-14	'	
1-4	14-16	As	
1-5	17-27	technology	
1-6	28-35	marches	
1-7	35-36	'	
1-8	36-37	.	
1-9	38-39	.	
1-10	40-41	.	
1-11	42-49	mirrors	
1-12	50-52	my	
1-13	53-56	own	
1-14	57-66	emotional	
1-15	67-68	/	
1-16	69-82	psychological	
1-17	83-93	experience	
1-18	94-96	of	
1-19	97-111	technology.How	
1-20	112-114	do	
1-21	115-118	you	
1-22	119-122	put	
1-23	123-125	AC	
1-24	126-131	Milan	
1-25	131-132	,	
1-26	133-140	Chelsea	
1-27	141-143	FC	
1-28	144-145	&	
1-29	145-148	amp	
1-30	148-149	;	
1-31	150-159	Vancouver	
1-32	160-167	Canucks	
1-33	168-170	in	
1-34	171-174	the	
1-35	175-179	same	
1-36	180-188	sentence	
1-37	188-189	?	

#Text=Thought Technology Ltd.!
2-1	190-197	Thought	
2-2	198-208	Technology	
2-3	209-212	Ltd	
2-4	212-213	.	
2-5	213-214	!	

#Text=http://tinyurl.com/l5866xcWe are in our 41st year, as a Medical Instrumentation Manufacturer.The Biofeedback Federation of Europe BFE Annual Meeting - March 24-28, 2015 - Rome Meet the Presenters - Workshop Abstracts -http://bfe-meeting.blogspot.ca/p/workshop-abstracts.htmlThe BFE will host 2 two day Elite Sport Performance Workshops:http://bfe-meeting.blogspot.ca/2014/12/workshop-dr-lindsay-thornton.html - Workshop - Dr.
3-1	215-219	http	
3-2	219-220	:	
3-3	220-221	/	
3-4	221-222	/	
3-5	222-233	tinyurl.com	
3-6	233-234	/	
3-7	234-243	l5866xcWe	
3-8	244-247	are	
3-9	248-250	in	
3-10	251-254	our	
3-11	255-259	41st	
3-12	260-264	year	
3-13	264-265	,	
3-14	266-268	as	
3-15	269-270	a	
3-16	271-278	Medical	
3-17	279-294	Instrumentation	
3-18	295-311	Manufacturer.The	
3-19	312-323	Biofeedback	
3-20	324-334	Federation	
3-21	335-337	of	
3-22	338-344	Europe	
3-23	345-348	BFE	
3-24	349-355	Annual	
3-25	356-363	Meeting	
3-26	364-365	-	
3-27	366-371	March	
3-28	372-374	24	
3-29	374-375	-	
3-30	375-377	28	
3-31	377-378	,	
3-32	379-383	2015	
3-33	384-385	-	
3-34	386-390	Rome	
3-35	391-395	Meet	
3-36	396-399	the	
3-37	400-410	Presenters	
3-38	411-412	-	
3-39	413-421	Workshop	
3-40	422-431	Abstracts	
3-41	432-433	-	
3-42	433-437	http	
3-43	437-438	:	
3-44	438-439	/	
3-45	439-440	/	
3-46	440-463	bfe-meeting.blogspot.ca	
3-47	463-464	/	
3-48	464-465	p	
3-49	465-466	/	
3-50	466-492	workshop-abstracts.htmlThe	
3-51	493-496	BFE	
3-52	497-501	will	
3-53	502-506	host	
3-54	507-508	2	
3-55	509-512	two	
3-56	513-516	day	
3-57	517-522	Elite	
3-58	523-528	Sport	
3-59	529-540	Performance	
3-60	541-550	Workshops	
3-61	550-551	:	
3-62	551-555	http	
3-63	555-556	:	
3-64	556-557	/	
3-65	557-558	/	
3-66	558-581	bfe-meeting.blogspot.ca	
3-67	581-582	/	
3-68	582-586	2014	
3-69	586-587	/	
3-70	587-589	12	
3-71	589-590	/	
3-72	590-623	workshop-dr-lindsay-thornton.html	
3-73	624-625	-	
3-74	626-634	Workshop	
3-75	635-636	-	
3-76	637-639	Dr	
3-77	639-640	.	

#Text=Lindsay Thorntonhttp://bfe-meeting.blogspot.ca/2015/01/workshop-dr-penny-werthner.html - Workshop - Dr.
4-1	641-648	Lindsay	
4-2	649-661	Thorntonhttp	
4-3	661-662	:	
4-4	662-663	/	
4-5	663-664	/	
4-6	664-687	bfe-meeting.blogspot.ca	
4-7	687-688	/	
4-8	688-692	2015	
4-9	692-693	/	
4-10	693-695	01	
4-11	695-696	/	
4-12	696-727	workshop-dr-penny-werthner.html	
4-13	728-729	-	
4-14	730-738	Workshop	
4-15	739-740	-	
4-16	741-743	Dr	
4-17	743-744	.	

#Text=Penny Werthner &amp; Marc Saab, MEng.These 4 days of workshops are from two Female Elite Sport Psychologists, who are MOST newsworthy.Lindsay is Canadian and the Head of Sport Psychophysiology for the USOC!
5-1	745-750	Penny	
5-2	751-759	Werthner	
5-3	760-761	&	
5-4	761-764	amp	
5-5	764-765	;	
5-6	766-770	Marc	
5-7	771-775	Saab	
5-8	775-776	,	
5-9	777-787	MEng.These	
5-10	788-789	4	
5-11	790-794	days	
5-12	795-797	of	
5-13	798-807	workshops	
5-14	808-811	are	
5-15	812-816	from	
5-16	817-820	two	
5-17	821-827	Female	
5-18	828-833	Elite	
5-19	834-839	Sport	
