#FORMAT=WebAnno TSV 3.1


#Text=Maybe the author could explain why the wealthiest gulf states are doing so little to help the Syrian refugee crisis while the west is expected to take in millions of them.
1-1	0-5	Maybe	
1-2	6-9	the	
1-3	10-16	author	
1-4	17-22	could	
1-5	23-30	explain	
1-6	31-34	why	
1-7	35-38	the	
1-8	39-49	wealthiest	
1-9	50-54	gulf	
1-10	55-61	states	
1-11	62-65	are	
1-12	66-71	doing	
1-13	72-74	so	
1-14	75-81	little	
1-15	82-84	to	
1-16	85-89	help	
1-17	90-93	the	
1-18	94-100	Syrian	
1-19	101-108	refugee	
1-20	109-115	crisis	
1-21	116-121	while	
1-22	122-125	the	
1-23	126-130	west	
1-24	131-133	is	
1-25	134-142	expected	
1-26	143-145	to	
1-27	146-150	take	
1-28	151-153	in	
1-29	154-162	millions	
1-30	163-165	of	
1-31	166-170	them	
1-32	170-171	.	
