#FORMAT=WebAnno TSV 3.1


#Text=It means the public is sick of dishonest career politicians and their intellectual elite supporters bearing the feeling of entitlement to rule.
1-1	0-2	It	
1-2	3-8	means	
1-3	9-12	the	
1-4	13-19	public	
1-5	20-22	is	
1-6	23-27	sick	
1-7	28-30	of	
1-8	31-40	dishonest	
1-9	41-47	career	
1-10	48-59	politicians	
1-11	60-63	and	
1-12	64-69	their	
1-13	70-82	intellectual	
1-14	83-88	elite	
1-15	89-99	supporters	
1-16	100-107	bearing	
1-17	108-111	the	
1-18	112-119	feeling	
1-19	120-122	of	
1-20	123-134	entitlement	
1-21	135-137	to	
1-22	138-142	rule	
1-23	142-143	.	
