#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Okay Marie nice rant.
1-1	0-4	Okay	_	_	
1-2	5-10	Marie	_	_	
1-3	11-15	nice	Judgment[1]	neg[1]	
1-4	16-20	rant	Judgment[1]	neg[1]	
1-5	20-21	.	_	_	

#Text=But more importantly I hope that President Trump selects you as his special prosecutor to throw Hillary into the bucket.
2-1	22-25	But	_	_	
2-2	26-30	more	_	_	
2-3	31-42	importantly	_	_	
2-4	43-44	I	_	_	
2-5	45-49	hope	_	_	
2-6	50-54	that	_	_	
2-7	55-64	President	_	_	
2-8	65-70	Trump	_	_	
2-9	71-78	selects	Judgment[2]	neg[2]	
2-10	79-82	you	Judgment[2]	neg[2]	
2-11	83-85	as	Judgment[2]	neg[2]	
2-12	86-89	his	Judgment[2]	neg[2]	
2-13	90-97	special	Judgment[2]	neg[2]	
2-14	98-108	prosecutor	Judgment[2]	neg[2]	
2-15	109-111	to	Judgment[2]	neg[2]	
2-16	112-117	throw	Judgment[2]	neg[2]	
2-17	118-125	Hillary	Judgment[2]	neg[2]	
2-18	126-130	into	Judgment[2]	neg[2]	
2-19	131-134	the	Judgment[2]	neg[2]	
2-20	135-141	bucket	Judgment[2]	neg[2]	
2-21	141-142	.	_	_	

#Text=You would be perfect.
3-1	143-146	You	_	_	
3-2	147-152	would	_	_	
3-3	153-155	be	_	_	
3-4	156-163	perfect	Judgment	neg	
3-5	163-164	.	_	_	
