#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=This is not a woman issue.
1-1	0-4	This	_	_	
1-2	5-7	is	_	_	
1-3	8-11	not	Appreciation[1]	neg[1]	
1-4	12-13	a	Appreciation[1]	neg[1]	
1-5	14-19	woman	Appreciation[1]	neg[1]	
1-6	20-25	issue	Appreciation[1]	neg[1]	
1-7	25-26	.	_	_	

#Text=It is Hillary the person that people don't like.
2-1	27-29	It	_	_	
2-2	30-32	is	_	_	
2-3	33-40	Hillary	_	_	
2-4	41-44	the	_	_	
2-5	45-51	person	_	_	
2-6	52-56	that	_	_	
2-7	57-63	people	_	_	
2-8	64-69	don't	Judgment[2]	neg[2]	
2-9	70-74	like	Judgment[2]	neg[2]	
2-10	74-75	.	_	_	

#Text=Trump is just being seen as the lesser evil.
3-1	76-81	Trump	_	_	
3-2	82-84	is	_	_	
3-3	85-89	just	_	_	
3-4	90-95	being	_	_	
3-5	96-100	seen	_	_	
3-6	101-103	as	_	_	
3-7	104-107	the	_	_	
3-8	108-114	lesser	Judgment[3]	neg[3]	
3-9	115-119	evil	Judgment[3]	neg[3]	
3-10	119-120	.	_	_	
